"Season ID","Event ID","Match ID","Team ID","Match Rank","Team Name","Player ID","Player Name","Kill","Damage","Assist","On Target","Moving Distance","Headshots","Headshot Kill Rate","Headshot Accuracy Rate","Revival","Revival Members","Knock Down","Rescue Members","Survival Time","Maximum kill distance"
"-","-","2030730435302645760","-","2","RAVENS","745401823","RVN.SKYITOyz","8","2990","1","21.24%","3202","0","0.00%","0.00%","0","1","7","1","802","58"
"-","-","2030730435302645760","-","1","TG TEAM","1558442687","TG.JAPAking!","5","2079","2","18.01%","2469","2","20.00%","4.26%","1","0","5","2","994","66"
"-","-","2030730435302645760","-","6","DRAGONS","389129106","DRG.SIMOX","4","1258","0","20.34%","4793","0","0.00%","0.00%","0","1","4","0","924","19"
"-","-","2030730435302645760","-","1","TG TEAM","9536817502","ㅤᴅ͜ꜱㅤʀᴀꜰɪɴɪᴀ","3","1955","0","24.00%","2251","1","33.33%","8.33%","0","3","4","0","994","82"
"-","-","2030730435302645760","-","2","RAVENS","1726496511","RVN.MADANii","3","1747","5","17.95%","3678","1","0.00%","14.29%","0","1","4","0","799","10"
"-","-","2030730435302645760","-","2","RAVENS","1343069420","RVN.MADI7","3","2167","6","26.77%","3291","4","33.33%","7.55%","2","0","3","1","807","92"
"-","-","2030730435302645760","-","3","AMATERASS","961381867","AMT.XELORjr","3","1218","2","30.92%","3366","0","0.00%","0.00%","1","1","2","1","994","12"
"-","-","2030730435302645760","-","3","AMATERASS","808044141","AMT.ZIZOX","3","1997","6","24.89%","2195","3","33.33%","5.36%","2","0","5","1","994","5"
"-","-","2030730435302645760","-","4","THE ViCIOUS","549665108","VCSㅤLeoNimo","3","1721","4","25.17%","3100","3","0.00%","4.05%","0","0","5","1","937","77"
"-","-","2030730435302645760","-","4","THE ViCIOUS","98046288","VCSㅤBAWS’","3","1728","1","21.37%","3304","2","33.33%","8.00%","0","0","4","2","937","46"
"-","-","2030730435302645760","-","5","CLEAR VISION","387947307","CLVS;YUNES","3","2196","2","16.54%","3145","6","66.67%","9.09%","1","3","6","1","984","6"
"-","-","2030730435302645760","-","1","TG TEAM","232016752","TG.Fixa%","2","1521","5","21.61%","1880","5","0.00%","9.80%","1","0","1","0","994","45"
"-","-","2030730435302645760","-","2","RAVENS","790283067","accc4sale","2","789","9","15.48%","3708","1","0.00%","3.85%","0","0","2","0","791","8"
"-","-","2030730435302645760","-","3","AMATERASS","1134751047","AMT.LBEHJAAa","2","1566","3","11.83%","2855","0","0.00%","0.00%","1","0","3","0","974","65"
"-","-","2030730435302645760","-","3","AMATERASS","2212700020","AMT.POKIKS","2","2003","1","32.50%","2513","0","0.00%","0.00%","0","3","2","0","959","26"
"-","-","2030730435302645760","-","4","THE ViCIOUS","2032731164","VCSㅤMrㅤAli","2","1789","2","34.94%","3051","5","50.00%","17.24%","0","0","3","0","913","6"
"-","-","2030730435302645760","-","4","THE ViCIOUS","1919293926","VCSㅤMRTKINGx","2","1185","3","19.82%","2863","2","50.00%","9.09%","0","0","2","1","922","48"
"-","-","2030730435302645760","-","5","CLEAR VISION","2246065429","CLVS.DOMIN7","2","412","1","10.11%","3723","0","0.00%","0.00%","1","1","2","2","898","33"
"-","-","2030730435302645760","-","6","DNA ESPORT","803932039","PEDRI.DNA","2","658","0","19.17%","2885","0","0.00%","0.00%","1","0","2","1","781","10"
"-","-","2030730435302645760","-","6","DNA ESPORT","3177757776","M7MD.DNA","2","402","3","10.78%","2888","0","0.00%","0.00%","0","0","1","0","781","12"
"-","-","2030730435302645760","-","6","DNA ESPORT","631646404","GOATSAMxDNA","2","1231","4","26.67%","2723","0","0.00%","0.00%","0","1","3","0","781","17"
"-","-","2030730435302645760","-","7","SAVAGES","520905729","QAD.KINGx","2","901","1","25.64%","2575","1","0.00%","1.67%","0","0","2","0","864","7"
