"Season ID","Event ID","Match ID","Match Rank","Team ID","Team Name","Survival Score","Kill","Total Score","BOOYAH!","Damage","On Target","Headshots","Headshot Kill Rate","Headshot Accuracy Rate","Survival Time","Revival","Rescue Members"
"-","-","2030730435302645760","1","-","TG TEAM","12","11","23","1","6494","20.07%","10","18.18%","6.13%","994","3","5"
"-","-","2030730435302645760","2","-","RAVENS","4","16","20","0","7693","21.24%","6","6.25%","4.48%","807","2","2"
"-","-","2030730435302645760","3","-","AMATERASS","9","10","19","0","6784","19.45%","3","10.00%","1.52%","994","4","2"
"-","-","2030730435302645760","4","-","THE ViCIOUS","7","10","17","0","6423","24.79%","12","30.00%","8.00%","937","0","4"
"-","-","2030730435302645760","5","-","CLEAR VISION","8","7","15","0","4858","11.20%","9","28.57%","6.87%","984","5","4"
"-","-","2030730435302645760","6","-","DNA ESPORT","3","7","10","0","3131","18.35%","3","14.29%","5.17%","781","1","1"
"-","-","2030730435302645760","6","-","DRAGONS","6","4","10","0","2232","16.88%","1","0.00%","1.85%","925","2","1"
"-","-","2030730435302645760","7","-","SAVAGES","5","4","9","0","2760","21.85%","1","0.00%","0.76%","864","0","1"
"-","-","2030730435302645760","8","-","FIGHT NIGHT","2","4","6","0","3264","28.78%","1","25.00%","0.85%","753","3","1"
"-","-","2030730435302645760","9","-","ALPHA","0","3","3","0","3076","23.88%","6","0.00%","5.36%","649","10","0"
"-","-","2030730435302645760","9","-","DREAM ESPORTS","1","2","3","0","2878","32.21%","4","0.00%","4.65%","751","4","2"
"-","-","2030730435302645760","10","-","PURGE DZ","0","0","0","0","529","21.43%","0","0.00%","0.00%","204","0","0"
